TAG,Value,Time
B,67382,145
R,67385,23524
B,67387,103
I,67390,35937
B,67392,138
R,67394,23440
B,67397,83
I,67399,35901
B,67401,164
R,67404,23500
B,67406,89
I,67408,35902
B,67411,133
R,67413,23442
B,67416,84
I,67418,35928
B,67420,158
R,67423,23460
B,67425,88
I,67427,35945
B,67430,132
R,67432,23486
B,67435,107
I,67437,35973
B,67439,142
R,67442,23460
B,67444,84
I,67446,35937
B,67449,143
R,67451,23461
B,67453,109
I,67456,35968
B,67458,145
R,67461,23441
B,67463,80
I,67465,35971
B,67468,162
R,67470,23513
B,67472,92
I,67475,35956
B,67477,134
R,67479,23482
B,67482,88
I,67484,35988
B,67487,162
R,67489,23504
B,67491,90
I,67494,35947
B,67496,124
R,67498,23475
B,67501,106
I,67503,36009
B,67506,150
R,67508,23439
B,67510,82
I,67513,35973
B,67515,145
R,67517,23506
B,67520,116
I,67522,36020
B,67524,146
R,67527,23489
B,67529,81
I,67532,35953
B,67534,166
R,67536,23485
B,67539,94
I,67541,36018
B,67543,138
R,67546,23419
B,67548,83
I,67550,36009
B,67553,169
R,67555,23484
B,67558,91
I,67560,35995
B,67562,127
R,67565,23486
B,67567,104
I,67569,35997
B,67572,149
R,67574,23461
B,67577,82
I,67579,35933
B,67581,128
R,67584,23470
B,67586,114
I,67588,36054
B,67591,143
R,67593,23447
B,67595,75
I,67598,35987
B,67600,156
R,67603,23519
B,67605,96
I,67607,35975
B,67610,137
R,67612,23424
B,67614,84
I,67617,35963
B,67619,163
R,67621,23457
B,67624,92
I,67626,35972
B,67629,130
R,67631,23448
B,67633,102
I,67636,36024
B,67638,150
R,67640,23420
B,67643,79
I,67645,35971
B,67648,138
R,67650,23449
B,67652,112
I,67655,35970
B,67657,142
R,67659,23440
B,67662,70
I,67664,35950
B,67666,151
R,67669,23470
B,67671,96
I,67674,36018
B,67676,139
R,67678,23415
B,67681,83
I,67683,35978
B,67685,167
R,67688,23494
B,67690,91
I,67692,35998
B,67695,132
R,67697,23477
B,67700,99
I,67702,35984
B,67704,156
R,67707,23440
B,67709,83
I,67711,35972
B,67714,135
R,67716,23481
B,67719,112
I,67721,36009
B,67723,150
R,67726,23452
B,67728,79
I,67730,35991
B,67733,151
R,67735,23477
B,67737,100
I,67740,36035
B,67742,140
R,67745,23490
B,67747,78
I,67749,35997
B,67752,166
R,67754,23495
B,67756,98
I,67759,35967
B,67761,127
R,67764,23395
B,67766,91
I,67768,35997
B,67771,155
R,67773,23437
B,67775,85
I,67778,35944
B,67780,129
R,67782,23461
B,67785,108
I,67787,36050
B,67790,145
R,67792,23440
B,67794,78
I,67797,35966
B,67799,146
R,67801,23450
B,67804,110
I,67806,36000
B,67809,142
R,67811,23416
B,67813,74
I,67816,35997
B,67818,161
R,67820,23478
B,67823,97
I,67825,35976
B,67827,132
R,67830,23451
B,67832,94
I,67835,35967
B,67837,158
R,67839,23421
B,67842,88
I,67844,35991
B,67846,131
R,67849,23436
B,67851,109
I,67853,36004
B,67856,147
R,67858,23410
B,67861,80
I,67863,35972
B,67865,140
R,67868,23434
B,67870,113
I,67872,35971
B,67875,138
R,67877,23408
B,67880,69
I,67882,35983
B,67884,160
R,67887,23447
B,67889,90
I,67891,36005
B,67894,125
R,67896,23453
B,67898,86
I,67901,36007
B,67903,164
R,67906,23435
B,67908,87
I,67910,36015
B,67913,120
R,67915,23403
B,67917,104
I,67920,36040
B,67922,145
R,67924,23447
B,67927,80
I,67929,35983
